bibliography.congress classifications,bibliography.languages,bibliography.subjects,bibliography.title,bibliography.type,metadata.downloads,metadata.id,metadata.rank,metadata.url,bibliography.author.birth,bibliography.author.death,bibliography.author.name,bibliography.publication.day,bibliography.publication.full,bibliography.publication.month,bibliography.publication.month name,bibliography.publication.year
,en,,Citizen Jell,Text,821,51342,449,https://www.gutenberg.org/ebooks/51342,1928,1988,"Shaara, Michael",2,03/02/16,3,March,2016
JC,en,Nationalism,Nationalism,Text,820,40766,450,https://www.gutenberg.org/ebooks/40766,1861,1941,"Tagore, Rabindranath",15,09/15/12,9,September,2012
PZ,en,"Universities and colleges -- Fiction;Self-perception -- Fiction;Canada -- History -- 1914-1945 -- Fiction;Orphans -- Fiction;Prince Edward Island -- History -- 20th century -- Fiction;Nova Scotia -- History -- 20th century -- Fiction;Interpersonal relations -- Fiction;Shirley, Anne (Fictitious character) -- Fiction",Anne of the Island,Text,819,51,451,https://www.gutenberg.org/ebooks/51,1874,1942,"Montgomery, L. M. (Lucy Maud)",7,03/07/06,3,March,2006
PR,en,"Autobiographical fiction,British -- Belgium -- Fiction,Brussels (Belgium) -- Fiction,Women teachers -- Fiction,Love stories",Villette,Text,819,9182,452,https://www.gutenberg.org/ebooks/9182,1816,1855,"Bronte, Charlotte",1,"October, 2005",10,October,2005
PR,en,"English poetry -- 18th century,English poetry -- 19th century",The Poetical Works of William Wordsworth — Volume 3,Text,814,12383,453,https://www.gutenberg.org/ebooks/12383,1770,1850,"Wordsworth, William",19,05/19/04,5,May,2004
PQ,en,"Islands of the Pacific -- Fiction,Science fiction,Castaways -- Fiction,Adventure stories",The Mysterious Island,Text,813,1268,454,https://www.gutenberg.org/ebooks/1268,1828,1905,"Verne, Jules",1,"April, 1998",4,April,1998
PR,en,"England -- Fiction,Ghosts -- Fiction",The Canterville Ghost,Text,812,14522,455,https://www.gutenberg.org/ebooks/14522,1854,1900,"Wilde, Oscar",30,12/30/04,12,December,2004
,en,,Prime Difference,Text,810,51321,456,https://www.gutenberg.org/ebooks/51321,1928,1992,"Nourse, Alan Edward",28,02/28/16,2,February,2016
,en,,Adventures of Sherlock Holmes: Illustrated,Text,809,48320,457,https://www.gutenberg.org/ebooks/48320,1859,1930,"Doyle, Arthur Conan",20,02/20/15,2,February,2015
PQ,en,"France -- History -- Louis XIV, 1643-1715 -- Fiction;Adventure and adventurers -- Fiction;Swordsmen -- Fiction;Historical fiction;Man in the Iron Mask -- Fiction;Romances",The Man in the Iron Mask,Text,808,2759,458,https://www.gutenberg.org/ebooks/2759,1802,1870,"Dumas, Alexandre",1,"August, 2001",8,August,2001
PR,en,"Songs, Scots -- Scotland -- Texts;Scotland -- Poetry",Poems and Songs of Robert Burns,Text,807,1279,459,https://www.gutenberg.org/ebooks/1279,1759,1796,"Burns, Robert",25,01/25/05,1,January,2005
,en,,Man in a Quandary,Text,804,51421,460,https://www.gutenberg.org/ebooks/51421,0,0,"Wesley, Joseph",11,03/11/16,3,March,2016
QC,en,Optics -- Early works to 1800,"Opticks: Or, A Treatise of the Reflections, Refractions, Inflections, and Colours of Light",Text,802,33504,461,https://www.gutenberg.org/ebooks/33504,1642,1727,"Newton, Isaac, Sir",23,08/23/10,8,August,2010
PS,en,"Political corruption -- Fiction,Political fiction,Satire,Legislators -- Fiction,Speculation -- Fiction,Washington (D.C.) -- Fiction,Businessmen -- Fiction",The Gilded Age: A Tale of Today,Text,800,3178,462,https://www.gutenberg.org/ebooks/3178,1835,1910,"Twain, Mark",1,01/01/73,1,January,1873
AZ,en,"Investments -- Psychological aspects,Common fallacies,Impostors and imposture,Hallucinations and illusions,Occultism -- Early works to 1900,Stock exchanges -- Psychological aspects,Alchemy,Delusions,Swindlers and swindling,Social psychology",Memoirs of Extraordinary Popular Delusions and the Madness of Crowds,Text,799,24518,463,https://www.gutenberg.org/ebooks/24518,1814,1889,"Mackay, Charles",5,02/05/08,2,February,2008
PS,en,"Paranormal fiction,Domestic fiction,Haunted houses -- Fiction,Historical fiction,Salem (Mass.) -- Fiction",The House of the Seven Gables,Text,798,77,464,https://www.gutenberg.org/ebooks/77,1804,1864,"Hawthorne, Nathaniel",17,06/17/08,6,June,2008
UH,en,Sabotage,Simple Sabotage Field Manual,Text,797,26184,465,https://www.gutenberg.org/ebooks/26184,0,0,United States. Office of Strategic Services,4,08/04/08,8,August,2008
PS,en,"Women iron and steel workers -- Fiction,Feminism -- Fiction","Life in the Iron-Mills; Or, The Korl Woman",Text,796,876,466,https://www.gutenberg.org/ebooks/876,1831,1910,"Davis, Rebecca Harding",1,04/01/97,4,April,1997
,en,,Time In the Round,Text,794,51380,467,https://www.gutenberg.org/ebooks/51380,1910,1992,"Leiber, Fritz",6,03/06/16,3,March,2016
PZ,en,"Canada -- History -- 1914-1945 -- Fiction;Orphans -- Fiction;Prince Edward Island -- History -- 20th century -- Fiction;Shirley, Anne (Fictitious character) -- Fiction;Teachers -- Fiction;Islands -- Fiction",Anne of Avonlea,Text,793,47,468,https://www.gutenberg.org/ebooks/47,1874,1942,"Montgomery, L. M. (Lucy Maud)",7,03/07/06,3,March,2006
PZ,en,"Folklore -- Japan,Fairy tales -- Japan,Fairy tales",Japanese Fairy Tales,Text,792,4018,469,https://www.gutenberg.org/ebooks/4018,0,0,"Ozaki, Yei Theodora",1,"May, 2003",5,May,2003
PR,en,"Monks -- Fiction,Gothic fiction (Literary genre),Madrid (Spain) -- Fiction,Horror tales",The Monk: A Romance,Text,791,601,470,https://www.gutenberg.org/ebooks/601,1775,1818,"Lewis, M. G. (Matthew Gregory)",1,"July, 1996",7,July,1996
PZ,en,"Fairy tales -- India,Folklore -- India,Fairy tales",Indian Fairy Tales,Text,791,7128,471,https://www.gutenberg.org/ebooks/7128,0,0,Unknown,13,03/13/03,3,March,2003
F2301,es,"Venezuela -- History -- 1556-1810,Venezuela -- History -- To 1556","Historia de Venezuela, Tomo I",Text,789,39947,472,https://www.gutenberg.org/ebooks/39947,0,0,"Aguado, Pedro de, active 16th century",8,06/08/12,6,June,2012
,en,,Public School Life: Boys Masters Parents,Text,789,51409,473,https://www.gutenberg.org/ebooks/51409,1898,1981,"Waugh, Alec",9,03/09/16,3,March,2016
,en,,The Campaign in Russian Poland,Text,789,51411,474,https://www.gutenberg.org/ebooks/51411,0,0,"Standing, Percy Cross",9,03/09/16,3,March,2016
B,de,"Philosophy, German;Superman (Philosophical concept)",Also sprach Zarathustra: Ein Buch für Alle und Keinen,Text,789,7205,475,https://www.gutenberg.org/ebooks/7205,1844,1900,"Nietzsche, Friedrich Wilhelm",1,"January, 2005",1,January,2005
,en,,Double Standard,Text,788,51363,476,https://www.gutenberg.org/ebooks/51363,1921,2004,"Coppel, Alfred",5,03/05/16,3,March,2016
HV,en,"Lynching -- United States,Lynching -- United States -- Statistics,African Americans -- History -- 1877-1964",The Red Record: Tabulated Statistics and Alleged Causes of Lynching in the United States,Text,786,14977,477,https://www.gutenberg.org/ebooks/14977,1862,1931,"Wells-Barnett, Ida B.",8,02/08/05,2,February,2005
GN,en,"Religion -- Philosophy,Religion,Cults,Totemism,Rites and ceremonies",The Elementary Forms of the Religious Life,Text,786,41360,478,https://www.gutenberg.org/ebooks/41360,1858,1917,"Durkheim, Emile",13,11/13/12,11,November,2012
PS,en,"Fantasy fiction;American fiction -- 19th century;Horror tales, American;American poetry",The Works of Edgar Allan Poe — Volume 5,Text,784,2151,479,https://www.gutenberg.org/ebooks/2151,1809,1849,"Poe, Edgar Allan",19,05/19/08,5,May,2008
PR,en,"Eve (Biblical figure) -- Poetry,Bible. Genesis -- History of Biblical events -- Poetry,Fall of man -- Poetry,Adam (Biblical figure) -- Poetry",Paradise Lost,Text,784,26,480,https://www.gutenberg.org/ebooks/26,1608,1674,"Milton, John",1,"February, 1992",2,February,1992
PA,en,"Sublime, The;Rhetoric, Ancient",On the Sublime,Text,782,17957,481,https://www.gutenberg.org/ebooks/17957,0,0,"Longinus, 1st cent.",10,03/10/06,3,March,2006
,en,,Break a Leg,Text,782,51320,482,https://www.gutenberg.org/ebooks/51320,1933,2010,"Harmon, Jim",28,02/28/16,2,February,2016
PG,en,"Christian fiction,Jesus Christ -- Fiction",The Grand Inquisitor,Text,782,8578,483,https://www.gutenberg.org/ebooks/8578,1821,1881,"Dostoyevsky, Fyodor",1,"July, 2005",7,July,2005
TT,en,"Woodwork,Carpentry","Woodwork Joints: How they are Set Out, How Made and Where Used.",Text,781,21531,484,https://www.gutenberg.org/ebooks/21531,0,0,"Fairham, William",19,05/19/07,5,May,2007
,en,,To The Fore With the Tanks!,Text,781,51332,485,https://www.gutenberg.org/ebooks/51332,1876,1959,"Westerman, Percy F. (Percy Francis)",29,02/29/16,2,February,2016
,en,,Memories of the Kaiser's Court,Text,780,51290,486,https://www.gutenberg.org/ebooks/51290,0,0,"Topham, Anne",24,02/24/16,2,February,2016
,en,,I Am A Nucleus,Text,778,51330,487,https://www.gutenberg.org/ebooks/51330,0,0,"Barr, Stephen",29,02/29/16,2,February,2016
,en,,Turkey; the Awakening of Turkey; the Turkish Revolution of 1908,Text,777,51329,488,https://www.gutenberg.org/ebooks/51329,1852,1925,"Knight, E. F. (Edward Frederick)",29,02/29/16,2,February,2016
,en,,Not a Creature Was Stirring,Text,777,51396,489,https://www.gutenberg.org/ebooks/51396,0,0,"Evans, Dean",8,03/08/16,3,March,2016
HD,en,"Businesspeople -- United States -- Biography;Automobiles -- History;Ford Motor Company -- History;Industrialists -- United States -- Biography;Automobile industry and trade -- United States -- History;Ford, Henry, 1863-1947",My Life and Work,Text,776,7213,490,https://www.gutenberg.org/ebooks/7213,1863,1947,"Ford, Henry",1,"January, 2005",1,January,2005
PT,de,"Buddhist philosophy -- Fiction,Religious fiction,Buddhism -- Fiction,India -- Fiction,Gautama Buddha -- Fiction",Siddhartha: eine indische Dichtung,Text,770,2499,491,https://www.gutenberg.org/ebooks/2499,1877,1962,"Hesse, Hermann",1,"February, 2001",2,February,2001
PS,en,"Fathers and daughters -- Fiction;Americans -- Italy -- Fiction;Married women -- Fiction;Italy -- Fiction;Triangles (Interpersonal relations) -- Fiction;Psychological fiction;Inheritance and succession -- Fiction;Archer, Isabel (Fictitious character) -- Fiction;Love stories",The Portrait of a Lady — Volume 1,Text,769,2833,492,https://www.gutenberg.org/ebooks/2833,1843,1916,"James, Henry",1,"September, 2001",9,September,2001
PR,en,"Science fiction,Second Advent -- Fiction",Lord of the World,Text,767,14021,493,https://www.gutenberg.org/ebooks/14021,1871,1914,"Benson, Robert Hugh",11,11/11/04,11,November,2004
PS,en,"Philosophy, American;Nature",Nature,Text,766,29433,494,https://www.gutenberg.org/ebooks/29433,1803,1882,"Emerson, Ralph Waldo",17,07/17/09,7,July,2009
B,en,"Philosophy, German;Ethics",Fundamental Principles of the Metaphysic of Morals,Text,766,5682,495,https://www.gutenberg.org/ebooks/5682,1724,1804,"Kant, Immanuel",1,"May, 2004",5,May,2004
PS,en,"Horror tales, American;Haunted houses -- Fiction",The Shunned House,Text,764,31469,496,https://www.gutenberg.org/ebooks/31469,1890,1937,"Lovecraft, H. P. (Howard Phillips)",2,03/02/10,3,March,2010
E151,en,"Washington, Booker T., 1856-1915;African Americans -- Biography;Tuskegee Institute;Educators -- United States -- Biography",Up from Slavery: An Autobiography,Text,763,2376,497,https://www.gutenberg.org/ebooks/2376,1856,1915,"Washington, Booker T.",1,"October, 2000",10,October,2000
D,en,"Europe -- History -- 18th century -- Biography;Casanova, Giacomo, 1725-1798","The Memoirs of Jacques Casanova de Seingalt, 1725-1798. Complete",Text,763,2981,498,https://www.gutenberg.org/ebooks/2981,1725,1798,"Casanova, Giacomo",2,11/02/06,11,November,2006
PS,en,"Walking -- Fiction,Humorous stories,Europe -- Fiction,Americans -- Europe -- Fiction",A Tramp Abroad,Text,762,119,499,https://www.gutenberg.org/ebooks/119,1835,1910,"Twain, Mark",1,06/01/04,6,June,2004
PA,en,"Latin letters -- Translations into English;Lawyers -- Rome -- Correspondence;Pliny, the Younger -- Correspondence;Authors, Latin -- Rome -- Correspondence",Letters of Pliny,Text,760,2811,500,https://www.gutenberg.org/ebooks/2811,61,0,"Pliny, the Younger",1,"September, 2001",9,September,2001
PA,en,Latin language -- Readers,Helps to Latin Translation at Sight,Text,760,28890,501,https://www.gutenberg.org/ebooks/28890,0,0,"Luce, Edmund",20,05/20/09,5,May,2009
PT,en,German poetry -- Translations into English,Erotica Romana,Text,760,7889,502,https://www.gutenberg.org/ebooks/7889,1749,1832,"Goethe, Johann Wolfgang von",1,"April, 2005",4,April,2005
,en,,Voyage to Far N'jurd,Text,759,51344,503,https://www.gutenberg.org/ebooks/51344,1925,1980,"Neville, Kris",2,03/02/16,3,March,2016
PR,en,"Humorous stories,Foundlings -- Fiction,Bildungsromans,Identity (Psychology) -- Fiction,England -- Fiction,Young men -- Fiction","History of Tom Jones, a Foundling",Text,758,6593,504,https://www.gutenberg.org/ebooks/6593,1707,1754,"Fielding, Henry",1,"September, 2004",9,September,2004
QH,en,"Microscopy -- Early works to 1800,Magnifying glasses -- Early works to 1800,Natural history -- Pre-Linnean works",Micrographia: Some Physiological Descriptions of Minute Bodies Made by Magnifying Glasses with Observations and Inquiries Thereupon,Text,757,15491,505,https://www.gutenberg.org/ebooks/15491,1635,1703,"Hooke, Robert",29,03/29/05,3,March,2005
,en,,...So They Baked a Cake,Text,757,51414,506,https://www.gutenberg.org/ebooks/51414,1915,1979,"Marks, Winston K.",10,03/10/16,3,March,2016
PR,en,"Fathers and daughters -- Fiction;London (England) -- Fiction;Children of prisoners -- Fiction;Debt, Imprisonment for -- Fiction;Inheritance and succession -- Fiction;Domestic fiction;Love stories;Marshalsea Prison (Southwark, London, England) -- Fiction",Little Dorrit,Text,757,963,507,https://www.gutenberg.org/ebooks/963,1812,1870,"Dickens, Charles",1,"July, 1997",7,July,1997
"PR,PZ",en,"England -- Fiction,Brothers and sisters -- Fiction,Country life -- England -- Fiction,Family life -- Fiction,Railroads -- Fiction",The Railway Children,Text,756,1874,508,https://www.gutenberg.org/ebooks/1874,1858,1924,"Nesbit, E. (Edith)",1,"August, 1999",8,August,1999
PS,en,"Conduct of life -- Fiction,Egoism -- Fiction,Man-woman relationships -- Fiction,Fate and fatalism -- Fiction",The Beast in the Jungle,Text,755,1093,509,https://www.gutenberg.org/ebooks/1093,1843,1916,"James, Henry",6,02/06/05,2,February,2005
E300,en,"Statesmen -- United States -- Biography;Franklin, Benjamin, 1706-1790",The Autobiography of Benjamin Franklin,Text,755,148,510,https://www.gutenberg.org/ebooks/148,1706,1790,"Franklin, Benjamin",22,05/22/08,5,May,2008
"PA,JC",en,Political science -- Early works to 1800,Politics: A Treatise on Government,Text,749,6762,511,https://www.gutenberg.org/ebooks/6762,-384,-322,Aristotle,1,"October, 2004",10,October,2004
PZ,en,"India -- Juvenile fiction,Pride and vanity -- Juvenile fiction,Tiger -- Juvenile fiction,Boys -- Juvenile fiction,Children's stories",Little Black Sambo,Text,748,17824,512,https://www.gutenberg.org/ebooks/17824,1862,1946,"Bannerman, Helen",22,02/22/06,2,February,2006
PA,en,"Classical literature;Mythology, Classical -- Poetry;Latin poetry -- Translations into English;Metamorphosis -- Mythology -- Poetry;Fables, Latin -- Translations into English","The Metamorphoses of Ovid, Books I-VII",Text,748,21765,513,https://www.gutenberg.org/ebooks/21765,-43,17,Ovid,8,06/08/07,6,June,2007
PQ,en,Maxims,Reflections; or Sentences and Moral Maxims,Text,746,9105,514,https://www.gutenberg.org/ebooks/9105,1613,1680,"La Rochefoucauld, Francois duc de",1,"October, 2005",10,October,2005
PS,en,"United States -- Social life and customs -- 19th century -- Fiction;Humorous stories, American",The Man That Corrupted Hadleyburg,Text,744,1213,515,https://www.gutenberg.org/ebooks/1213,1835,1910,"Twain, Mark",1,04/01/05,4,April,2005
DA,en,"Great Britain -- History -- Anglo-Saxon period, 449-1066 -- Sources;Anglo-Saxons -- Early works to 1800",The Anglo-Saxon Chronicle,Text,743,657,516,https://www.gutenberg.org/ebooks/657,0,0,Unknown,1,"September, 1996",9,September,1996
QA,en,"Puzzles,Mathematical recreations",Amusements in Mathematics,Text,742,16713,517,https://www.gutenberg.org/ebooks/16713,1857,1930,"Dudeney, Henry Ernest",17,09/17/05,9,September,2005
G,en,"Voyages and travels;Polo, Marco, 1254-1323?;Mongols -- History;Asia -- Description and travel -- Early works to 1800",The Travels of Marco Polo — Volume 1,Text,741,10636,518,https://www.gutenberg.org/ebooks/10636,0,0,Rustichello of Pisa,8,01/08/04,1,January,2004
PS,en,"Women -- Fiction,Black humor,Utopian fiction,Utopias -- Fiction",Herland,Text,740,32,519,https://www.gutenberg.org/ebooks/32,1860,1935,"Gilman, Charlotte Perkins",10,05/10/92,5,May,1992
BJ,en,Etiquette,Etiquette,Text,739,14314,520,https://www.gutenberg.org/ebooks/14314,1873,1960,"Post, Emily",10,12/10/04,12,December,2004
E151,en,"United States -- Race relations,African Americans",Darkwater: Voices from Within the Veil,Text,738,15210,521,https://www.gutenberg.org/ebooks/15210,1868,1963,"Du Bois, W. E. B. (William Edward Burghardt)",28,02/28/05,2,February,2005
"PZ,PN",en,"English poetry,American poetry",Poems Every Child Should Know: The What-Every-Child-Should-Know-Library,Text,736,16436,522,https://www.gutenberg.org/ebooks/16436,0,0,Unknown,4,08/04/05,8,August,2005
,en,"Highlands (Scotland) -- History,Land tenure -- Scotland Highlands","The History of the Highland Clearances: Second Edition, Altered and Revised",Text,736,51271,523,https://www.gutenberg.org/ebooks/51271,1838,1898,"Mackenzie, Alexander",21,02/21/16,2,February,2016
,en,,"Prisoner of the Mill: or, Captain Hayward's ""Body Guard""",Text,736,51318,524,https://www.gutenberg.org/ebooks/51318,0,0,"Hazelton, Harry",28,02/28/16,2,February,2016
,en,,Lex,Text,736,51362,525,https://www.gutenberg.org/ebooks/51362,0,0,"Haggert, W. T.",5,03/05/16,3,March,2016
PK,en,"Rama (Hindu deity) -- Poetry;Epic poetry, Sanskrit -- Translations into English;Folklore -- India","The Rámáyan of Válmíki, translated into English verse",Text,735,24869,526,https://www.gutenberg.org/ebooks/24869,0,0,Valmiki,18,03/18/08,3,March,2008
B,en,Human beings,"Human, All Too Human: A Book for Free Spirits",Text,735,38145,527,https://www.gutenberg.org/ebooks/38145,1844,1900,"Nietzsche, Friedrich Wilhelm",26,11/26/11,11,November,2011
,en,,The Girls From Earth,Text,735,51268,528,https://www.gutenberg.org/ebooks/51268,1926,2014,"Robinson, Frank M.",22,02/22/16,2,February,2016
PQ,en,"Paris (France) -- Fiction;Older men -- Fiction;French fiction -- Translations into English;France -- History -- Louis XVIII, 1814-1824 -- Fiction;Fathers and daughters -- Fiction",Father Goriot,Text,734,1237,529,https://www.gutenberg.org/ebooks/1237,1799,1850,"Balzac, Honore de",1,"March, 1998",3,March,1998
PR,en,"Arthur, King -- Legends;Arthurian romances",Le Morte d'Arthur: Volume 2,Text,732,1252,530,https://www.gutenberg.org/ebooks/1252,0,1471,"Malory, Thomas, Sir",1,"March, 1998",3,March,1998
BF,en,"Knowledge, Theory of;Consciousness;Psychology",The Analysis of Mind,Text,730,2529,531,https://www.gutenberg.org/ebooks/2529,1872,1970,"Russell, Bertrand",1,"February, 2001",2,February,2001
PR,en,Erotic stories,The Power of Mesmerism: A Highly Erotic Narrative of Voluptuous Facts and Fancies,Text,729,28521,532,https://www.gutenberg.org/ebooks/28521,0,0,Anonymous,6,04/06/09,4,April,2009
,en,,No Substitutions,Text,729,51350,533,https://www.gutenberg.org/ebooks/51350,1933,2010,"Harmon, Jim",3,03/03/16,3,March,2016
,en,,Growing Up On Big Muddy,Text,729,51398,534,https://www.gutenberg.org/ebooks/51398,1911,1997,"De Vet, Charles V. (Charles Vincent)",8,03/08/16,3,March,2016
BF,en,"Folklore -- India;Occultism -- India, South;Omens;Dravidians -- Folklore;Superstition -- India, South",Omens and Superstitions of Southern India,Text,724,35690,535,https://www.gutenberg.org/ebooks/35690,1855,1935,"Thurston, Edgar",26,03/26/11,3,March,2011
PR,en,"Mothers and daughters -- Drama,Aristocracy (Social class) -- Drama,Marriage -- Drama",Lady Windermere's Fan,Text,724,790,536,https://www.gutenberg.org/ebooks/790,1854,1900,"Wilde, Oscar",26,10/26/14,10,October,2014
PR,en,"Sonnets, English;English poetry",Shakespeare's Sonnets,Text,723,1041,537,https://www.gutenberg.org/ebooks/1041,1564,1616,"Shakespeare, William",1,"September, 1997",9,September,1997
,en,,"The Mentor: The Metropolitan Museum of Art, Vol. 6, Num. 9, Serial No. 157, June 15, 1918",Text,723,51340,538,https://www.gutenberg.org/ebooks/51340,0,0,"Noe, Sydney P.",1,03/01/16,3,March,2016
PS,en,Prose poems,Tender Buttons: Objects—Food—Rooms,Text,722,15396,539,https://www.gutenberg.org/ebooks/15396,1874,1946,"Stein, Gertrude",17,03/17/05,3,March,2005
E300,en,"Fugitive slaves -- United States -- Biography,Fugitive slaves -- United States -- History -- 19th century,Underground Railroad,Antislavery movements -- United States -- History -- 19th century,Abolitionists -- United States -- Biography","The Underground Railroad: A Record of Facts, Authentic Narratives, Letters, &c., Narrating the Hardships, Hair-Breadth Escapes and Death Struggles of the Slaves in Their Efforts for Freedom, As Related by Themselves and Others, or Witnessed by the Author.",Text,721,15263,540,https://www.gutenberg.org/ebooks/15263,1821,1902,"Still, William",5,03/05/05,3,March,2005
PR,en,"England -- Social life and customs -- 19th century -- Fiction,Theatrical companies -- Fiction,Poor families -- Fiction,Bildungsromans,Picaresque literature,England -- Fiction,Boarding schools -- Fiction,Young men -- Fiction",Nicholas Nickleby,Text,721,967,541,https://www.gutenberg.org/ebooks/967,1812,1870,"Dickens, Charles",27,04/27/06,4,April,2006
PR,en,"Unmarried couples -- Fiction,Wessex (England) -- Fiction,Illegitimate children -- Fiction,Love stories,Children -- Death -- Fiction,Didactic fiction,Stonemasons -- Fiction,Adultery -- Fiction",Jude the Obscure,Text,720,153,542,https://www.gutenberg.org/ebooks/153,1840,1928,"Hardy, Thomas",1,"August, 1994",8,August,1994
"PZ,PS",en,"Universities and colleges -- Fiction,Schools -- Fiction,Philanthropists -- Fiction,Epistolary fiction,Orphans -- Fiction,Bildungsromans,Women college students -- Fiction,Letters -- Fiction,Boarding schools -- Fiction,Women authors -- Fiction,Young women -- Fiction,Love stories",Daddy-Long-Legs,Text,718,157,543,https://www.gutenberg.org/ebooks/157,1876,1916,"Webster, Jean",9,06/09/08,6,June,2008
PR,en,"Married women -- Fiction,Landlord and tenant -- Fiction,Alcoholics -- Fiction,England -- Social life and customs -- 19th century -- Fiction,England -- Fiction,Domestic fiction",The Tenant of Wildfell Hall,Text,718,969,544,https://www.gutenberg.org/ebooks/969,1820,1849,"Bronte, Anne",2,02/02/10,2,February,2010
PE,en,English language -- Terms and phrases,"Fifteen Thousand Useful Phrases: A Practical Handbook Of Pertinent Expressions, Striking Similes, Literary, Commercial, Conversational, And Oratorical Terms, For The Embellishment Of Speech And Literature, And The Improvement Of The Vocabulary Of Those Persons Who Read, Write, And Speak English",Text,717,18362,545,https://www.gutenberg.org/ebooks/18362,1868,1953,"Kleiser, Grenville",10,05/10/06,5,May,2006
,en,,Plain Living: A Bush Idyll,Text,717,51404,546,https://www.gutenberg.org/ebooks/51404,1826,1915,"Boldrewood, Rolf",8,03/08/16,3,March,2016
"PS,HM",en,"Government, Resistance to;Civil disobedience",On the Duty of Civil Disobedience,Text,717,71,547,https://www.gutenberg.org/ebooks/71,1817,1862,"Thoreau, Henry David",12,12 June 2004,6,June,2004
PR,en,"Political fiction,Kings and rulers -- Fiction,British -- Afghanistan -- Fiction,Afghanistan -- Fiction",The Man Who Would Be King,Text,714,8147,548,https://www.gutenberg.org/ebooks/8147,1865,1936,"Kipling, Rudyard",1,"May, 2005",5,May,2005
BR,en,"Christianity -- Essence, genius, nature;Apologetics;Chesterton, G. K. (Gilbert Keith), 1874-1936",Orthodoxy,Text,713,130,549,https://www.gutenberg.org/ebooks/130,1874,1936,"Chesterton, G. K. (Gilbert Keith)",1,"May, 1994",5,May,1994
PR,en,"Scotland -- Kings and rulers -- Drama;Tragedies;Macbeth, King of Scotland, active 11th century -- Drama;Regicides -- Drama",The Tragedy of Macbeth,Text,712,1129,550,https://www.gutenberg.org/ebooks/1129,1564,1616,"Shakespeare, William",1,01/01/23,1,January,1623
"PR,CT",en,"Johnson, Samuel, 1709-1784;Critics -- Great Britain -- Biography;Lexicographers -- Great Britain -- Biography;Authors, English -- 18th century -- Biography","Boswell's Life of Johnson: Abridged and edited, with an introduction by Charles Grosvenor Osgood",Text,712,1564,551,https://www.gutenberg.org/ebooks/1564,1740,1795,"Boswell, James",12,05/12/06,5,May,2006
,en,,License to Steal,Text,710,51420,552,https://www.gutenberg.org/ebooks/51420,0,0,"Newman, Louis",11,03/11/16,3,March,2016
,en,,"A Queen of Tears, vol. 1 of 2: Caroline Matilda, Queen of Denmark and Norway and Princess; of Great Britain and Ireland",Text,709,51368,553,https://www.gutenberg.org/ebooks/51368,1860,1905,"Wilkins, W. H. (William Henry)",5,03/05/16,3,March,2016
,en,,The Music Master of Babylon,Text,704,51379,554,https://www.gutenberg.org/ebooks/51379,1909,1976,"Pangborn, Edgar",6,03/06/16,3,March,2016
PR,en,"Sonnets, English;Love poetry, English",Sonnets from the Portuguese,Text,696,2002,555,https://www.gutenberg.org/ebooks/2002,1806,1861,"Browning, Elizabeth Barrett",14,09/14/04,9,September,2004
B,en,"Philosophy, German",Essays of Schopenhauer,Text,693,11945,556,https://www.gutenberg.org/ebooks/11945,1788,1860,"Schopenhauer, Arthur",7,04/07/04,4,April,2004
PR,en,"Athens (Greece) -- Drama,Courtship -- Drama,Fairy plays,Comedies",A Midsummer Night's Dream,Text,692,2242,557,https://www.gutenberg.org/ebooks/2242,1564,1616,"Shakespeare, William",1,01/01/00,1,January,1600
,en,,The Principles of Chemistry Volume I (of 2),Text,691,51326,558,https://www.gutenberg.org/ebooks/51326,0,0,"Mendeleyev, Dmitry Ivanovich",29,02/29/16,2,February,2016
PR,en,"Caesar, Julius -- Assassination -- Drama;Tragedies;Conspiracies -- Drama;Rome -- History -- Civil War, 43-31 B.C. -- Drama;Brutus, Marcus Junius, 85 B.C.?-42 B.C. -- Drama;Assassins -- Drama",The Tragedy of Julius Caesar,Text,689,1120,559,https://www.gutenberg.org/ebooks/1120,1564,1616,"Shakespeare, William",1,01/01/23,1,January,1623
PZ,en,"Fairy tales,Fairy tales -- Germany",Grimm's Fairy Stories,Text,688,11027,560,https://www.gutenberg.org/ebooks/11027,1785,1863,"Grimm, Jacob",10,02/10/04,2,February,2004
DC,en,"Private secretaries -- France -- Biography;Napoleon I, Emperor of the French, 1769-1821 -- Contemporaries;Napoleon I, Emperor of the French, 1769-1821;Bourrienne, Louis Antoine Fauvelet de, 1769-1834;Napoleon I, Emperor of the French, 1769-1821 -- Relations with private secretaries",Memoirs of Napoleon Bonaparte — Complete,Text,688,3567,561,https://www.gutenberg.org/ebooks/3567,1769,1834,"Bourrienne, Louis Antoine Fauvelet de",3,09/03/06,9,September,2006
D,en,"Sea-power;Naval history, Modern","The Influence of Sea Power Upon History, 1660-1783",Text,687,13529,562,https://www.gutenberg.org/ebooks/13529,1840,1914,"Mahan, A. T. (Alfred Thayer)",26,09/26/04,9,September,2004
PR,en,Horror tales,The Wendigo,Text,686,10897,563,https://www.gutenberg.org/ebooks/10897,1869,1951,"Blackwood, Algernon",31,01/31/04,1,January,2004
,en,,"Swenson, Dispatcher",Text,686,51331,564,https://www.gutenberg.org/ebooks/51331,1910,1958,"Miller, R. DeWitt",29,02/29/16,2,February,2016
,en,,A Dog Day: or The Angel in the House,Text,685,51306,565,https://www.gutenberg.org/ebooks/51306,0,0,"Emanuel, Walter",26,02/26/16,2,February,2016
